resolved_age_gr,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
31,3091.6087795997405,3068.511607620824,3045.518141944093,3022.6279169282498,2999.840469022729,2977.155336758303,2954.5720607377443,2932.090183626518,2909.709250143522,2887.428807051863,2865.248403149687,2843.167589261031,2821.1859182267344,2799.302944895383,2777.5182261142895,2755.831320720522,2734.241789531973,2712.7491953384615,2691.3531028928774,2670.053078902375,2648.848692019589,2627.739512833908,2606.72511386277,2585.8050695430125,2564.9789562222504,2544.2463521502987,2523.606837470631,2503.0599942118733,2482.6054062793482,2462.2426594466406
41,3694.80987203343,3668.9556085868176,3643.212518473027,3617.580123646725,3592.0579481181767,3566.6455179443997,3541.342361220372,3516.148008070256,3491.061990638686,3466.083843082072,3441.213101559951,3416.4493042263753,3391.7919912213342,3367.2407046622143,3342.794988635299,3318.4543891872995,3294.218454316927,3270.086733966496,3246.0587800135722,3222.134146262646,3198.312388436849,3174.593064169702,3150.9757329969043,3127.4599563481506,3104.0452975389853,3080.7313217626997,3057.5175960822526,3034.4036894222318,3011.3891725608473,2988.473618121967
51,4375.846935773684,4339.52172981443,4303.390863707057,4267.453297733359,4231.707997737621,4196.15393509686,4160.790086691226,4125.615434874562,4090.628967445119,4055.8296776164225,4021.216563988309,3986.788630518107,3952.54488649197,3918.4843464963724,3884.6060303897516,3850.908963274301,3817.3921754679186,3784.054702476301,3750.895584965187,3717.913868732758,3685.1086046821724,3652.4788487942574,3620.0236621003432,3587.742110655241,3555.63326551037,3523.6962026870256,3491.9300031497846,3460.333752780068,3428.906542349829,3397.6474674953924
